Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.600,1133.335,476.810,476.810,1371.782,1551.412,1551.412,1551.412,1551.412,1551.412,0.001
5,0.200,1259.785,1259.785,1259.785,1259.785,1259.785,1259.785,1259.785,1259.785,1259.785,0.001
10,0.200,3204.341,3204.341,3204.341,3204.341,3204.341,3204.341,3204.341,3204.341,3204.341,0.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.200,10966.985,10966.985,10966.985,10966.985,10966.985,10966.985,10966.985,10966.985,10966.985,0.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.200,1475.598,1475.598,1475.598,1475.598,1475.598,1475.598,1475.598,1475.598,1475.598,0.001
40,0.200,1094.273,1094.273,1094.273,1094.273,1094.273,1094.273,1094.273,1094.273,1094.273,0.001
45,0.200,4119.989,4119.989,4119.989,4119.989,4119.989,4119.989,4119.989,4119.989,4119.989,0.000
50,0.400,1195.767,1091.031,1091.031,1300.502,1300.502,1300.502,1300.502,1300.502,1300.502,0.001
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
65,0.200,11525.578,11525.578,11525.578,11525.578,11525.578,11525.578,11525.578,11525.578,11525.578,0.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
75,0.400,600.568,156.614,156.614,1044.522,1044.522,1044.522,1044.522,1044.522,1044.522,0.002
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
85,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.200,11128.975,11128.975,11128.975,11128.975,11128.975,11128.975,11128.975,11128.975,11128.975,0.000
95,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.600,345.764,242.414,242.414,252.577,542.302,542.302,542.302,542.302,542.302,0.003
105,0.200,321.082,321.082,321.082,321.082,321.082,321.082,321.082,321.082,321.082,0.003
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
115,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.200,16933.024,16933.024,16933.024,16933.024,16933.024,16933.024,16933.024,16933.024,16933.024,0.000
125,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
135,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
145,0.200,5662.755,5662.755,5662.755,5662.755,5662.755,5662.755,5662.755,5662.755,5662.755,0.000
150,0.400,783.098,210.207,210.207,1355.988,1355.988,1355.988,1355.988,1355.988,1355.988,0.001
155,0.200,1279.234,1279.234,1279.234,1279.234,1279.234,1279.234,1279.234,1279.234,1279.234,0.001
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
165,0.200,10848.044,10848.044,10848.044,10848.044,10848.044,10848.044,10848.044,10848.044,10848.044,0.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
175,0.200,1136.735,1136.735,1136.735,1136.735,1136.735,1136.735,1136.735,1136.735,1136.735,0.001
180,0.200,1235.935,1235.935,1235.935,1235.935,1235.935,1235.935,1235.935,1235.935,1235.935,0.001
185,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.200,11371.174,11371.174,11371.174,11371.174,11371.174,11371.174,11371.174,11371.174,11371.174,0.000
195,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
205,0.600,602.763,274.229,274.229,508.704,1025.357,1025.357,1025.357,1025.357,1025.357,0.002
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
215,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
220,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
225,0.200,16706.400,16706.400,16706.400,16706.400,16706.400,16706.400,16706.400,16706.400,16706.400,0.000
230,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
235,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.200,198.969,198.969,198.969,198.969,198.969,198.969,198.969,198.969,198.969,0.005
245,0.400,1127.772,885.153,885.153,1370.391,1370.391,1370.391,1370.391,1370.391,1370.391,0.001
250,0.200,3234.755,3234.755,3234.755,3234.755,3234.755,3234.755,3234.755,3234.755,3234.755,0.000
255,0.200,1423.036,1423.036,1423.036,1423.036,1423.036,1423.036,1423.036,1423.036,1423.036,0.001
260,0.200,4318.006,4318.006,4318.006,4318.006,4318.006,4318.006,4318.006,4318.006,4318.006,0.000
265,0.400,459.935,165.587,165.587,754.283,754.283,754.283,754.283,754.283,754.283,0.002
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
275,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.200,10594.339,10594.339,10594.339,10594.339,10594.339,10594.339,10594.339,10594.339,10594.339,0.000
285,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
290,0.400,317.149,279.744,279.744,354.553,354.553,354.553,354.553,354.553,354.553,0.003
295,0.200,4139.924,4139.924,4139.924,4139.924,4139.924,4139.924,4139.924,4139.924,4139.924,0.000
