Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,Q1,1714325113.079613,2088831,0,1
2,Q2,1714325116.455514,1604569,0,1
3,Q3,1714325120.245049,1759838,0,1
4,Q4,1714325123.335287,924333,0,1
5,Q5,1714325126.079384,1989481,0,1
6,Q6,1714325133.919297,5914595,0,1
7,Q7,1714325141.104586,1680205,0,1
8,Q8,1714325143.437809,866832,0,1
9,Q9,1714325150.560398,4961825,0,1
10,Q10,1714325156.984843,1272510,0,1
11,Q11,1714325158.671518,434211,0,1
12,Q12,1714325165.671652,5973495,0,1
13,Q13,1714325172.049512,291823,0,1
14,Q14,1714325172.893720,579822,0,1
15,Q15,1714325180.489379,7273929,0,1
16,Q16,1714325188.046939,457466,0,1
17,Q17,1714325188.746589,171839,0,1
18,Q18,1714325189.738593,581505,0,1
19,Q19,1714325190.561235,327666,0,1
20,Q20,1714325200.788250,9394464,0,1
21,Q21,1714325214.109624,5349895,0,1
22,Q22,1714325219.701570,221177,0,1
2,Q2,1714325221.790987,1734844,0,2
4,Q4,1714325224.927062,1133184,0,2
6,Q6,1714325231.779259,6634776,0,2
8,Q8,1714325239.097122,536058,0,2
10,Q10,1714325241.134021,1198613,0,2
12,Q12,1714325248.674945,5499072,0,2
14,Q14,1714325254.697859,509435,0,2
16,Q16,1714325255.467367,261364,0,2
18,Q18,1714325256.268636,671854,0,2
20,Q20,1714325264.579552,9260166,0,2
22,Q22,1714325274.054785,332596,0,2
1,Q1,1714325276.535933,2118750,0,3
3,Q3,1714325280.096316,1311827,0,3
5,Q5,1714325282.974768,2236625,0,3
7,Q7,1714325286.616011,1363142,0,3
9,Q9,1714325294.180617,5204863,0,3
11,Q11,1714325299.901752,378656,0,3
13,Q13,1714325300.464662,159897,0,3
15,Q15,1714325303.523130,5962752,0,3
17,Q17,1714325309.603820,327989,0,3
19,Q19,1714325310.306502,307887,0,3
21,Q21,1714325314.786448,3230737,0,3
