Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.400,1846.700,1604.569,1604.569,2088.831,2088.831,2088.831,2088.831,2088.831,2088.831,0.001
5,0.200,1759.838,1759.838,1759.838,1759.838,1759.838,1759.838,1759.838,1759.838,1759.838,0.001
10,0.400,1456.907,924.333,924.333,1989.481,1989.481,1989.481,1989.481,1989.481,1989.481,0.001
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.200,5914.595,5914.595,5914.595,5914.595,5914.595,5914.595,5914.595,5914.595,5914.595,0.000
25,0.200,1680.205,1680.205,1680.205,1680.205,1680.205,1680.205,1680.205,1680.205,1680.205,0.001
30,0.200,866.832,866.832,866.832,866.832,866.832,866.832,866.832,866.832,866.832,0.001
35,0.200,4961.825,4961.825,4961.825,4961.825,4961.825,4961.825,4961.825,4961.825,4961.825,0.000
40,0.200,1272.510,1272.510,1272.510,1272.510,1272.510,1272.510,1272.510,1272.510,1272.510,0.001
45,0.200,434.211,434.211,434.211,434.211,434.211,434.211,434.211,434.211,434.211,0.002
50,0.200,5973.495,5973.495,5973.495,5973.495,5973.495,5973.495,5973.495,5973.495,5973.495,0.000
55,0.400,435.823,291.823,291.823,579.822,579.822,579.822,579.822,579.822,579.822,0.002
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
65,0.200,7273.929,7273.929,7273.929,7273.929,7273.929,7273.929,7273.929,7273.929,7273.929,0.000
70,0.200,457.466,457.466,457.466,457.466,457.466,457.466,457.466,457.466,457.466,0.002
75,0.600,360.337,171.839,171.839,327.666,581.505,581.505,581.505,581.505,581.505,0.003
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
85,0.200,9394.464,9394.464,9394.464,9394.464,9394.464,9394.464,9394.464,9394.464,9394.464,0.000
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
95,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.200,5349.895,5349.895,5349.895,5349.895,5349.895,5349.895,5349.895,5349.895,5349.895,0.000
105,0.400,978.011,221.177,221.177,1734.844,1734.844,1734.844,1734.844,1734.844,1734.844,0.001
110,0.200,1133.184,1133.184,1133.184,1133.184,1133.184,1133.184,1133.184,1133.184,1133.184,0.001
115,0.200,6634.776,6634.776,6634.776,6634.776,6634.776,6634.776,6634.776,6634.776,6634.776,0.000
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
125,0.400,867.336,536.058,536.058,1198.613,1198.613,1198.613,1198.613,1198.613,1198.613,0.001
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
135,0.200,5499.072,5499.072,5499.072,5499.072,5499.072,5499.072,5499.072,5499.072,5499.072,0.000
140,0.600,480.884,261.364,261.364,509.435,671.854,671.854,671.854,671.854,671.854,0.002
145,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.200,9260.166,9260.166,9260.166,9260.166,9260.166,9260.166,9260.166,9260.166,9260.166,0.000
155,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.400,1225.673,332.596,332.596,2118.750,2118.750,2118.750,2118.750,2118.750,2118.750,0.001
165,0.400,1774.226,1311.827,1311.827,2236.625,2236.625,2236.625,2236.625,2236.625,2236.625,0.001
170,0.200,1363.142,1363.142,1363.142,1363.142,1363.142,1363.142,1363.142,1363.142,1363.142,0.001
175,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
180,0.200,5204.863,5204.863,5204.863,5204.863,5204.863,5204.863,5204.863,5204.863,5204.863,0.000
185,0.400,269.277,159.897,159.897,378.656,378.656,378.656,378.656,378.656,378.656,0.004
190,0.200,5962.752,5962.752,5962.752,5962.752,5962.752,5962.752,5962.752,5962.752,5962.752,0.000
195,0.400,317.938,307.887,307.887,327.989,327.989,327.989,327.989,327.989,327.989,0.003
200,0.200,3230.737,3230.737,3230.737,3230.737,3230.737,3230.737,3230.737,3230.737,3230.737,0.000
