Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,17.200,8.189,6.669,6.925,7.101,7.582,9.764,10.890,40.844,40.844,0.122
5,21.400,6.984,6.585,6.815,6.915,7.078,7.226,7.339,8.183,8.386,0.143
10,21.200,6.801,6.388,6.652,6.759,6.875,7.005,7.077,7.200,11.402,0.147
15,21.800,6.816,6.241,6.557,6.657,6.799,7.375,7.741,8.720,12.455,0.147
20,21.400,6.866,6.354,6.543,6.648,6.788,6.864,6.984,7.911,26.032,0.146
25,20.800,6.722,6.373,6.566,6.676,6.784,6.909,7.008,7.259,9.996,0.149
30,19.200,6.765,6.251,6.555,6.665,6.772,7.138,7.767,9.462,9.462,0.148
35,19.000,7.111,6.224,6.498,6.700,8.033,8.274,8.490,8.843,8.843,0.141
40,18.400,7.616,6.281,6.494,6.668,8.117,10.822,14.490,15.135,15.135,0.131
45,22.000,6.662,6.200,6.410,6.560,6.811,7.040,7.366,8.212,9.484,0.150
50,20.400,6.896,6.050,6.439,6.567,6.951,8.365,8.546,8.749,9.344,0.145
55,22.200,6.747,6.197,6.576,6.711,6.841,6.959,7.114,8.219,8.625,0.148
60,19.200,6.979,6.267,6.639,6.783,6.950,7.981,8.460,10.742,10.742,0.143
65,21.200,6.913,6.374,6.675,6.804,6.903,7.391,8.287,8.811,8.889,0.145
70,21.200,6.807,6.260,6.448,6.589,6.786,7.667,8.229,9.231,11.280,0.147
75,19.200,6.561,6.175,6.432,6.534,6.611,6.743,6.889,7.826,7.826,0.152
80,23.200,6.829,6.218,6.448,6.572,6.683,6.925,7.674,9.531,26.451,0.146
85,24.600,6.583,6.191,6.443,6.519,6.659,6.810,6.843,7.917,9.327,0.152
90,20.600,6.963,6.104,6.632,6.774,6.972,8.293,8.433,8.563,8.650,0.144
95,19.600,6.894,6.490,6.714,6.851,6.979,7.116,7.176,8.449,8.449,0.145
100,18.400,6.746,6.420,6.622,6.712,6.840,6.960,7.019,8.044,8.044,0.148
