Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,201.400,3.177,1.341,2.443,3.097,3.702,4.173,4.779,5.710,20.823,0.315
5,222.800,2.888,1.206,2.300,2.831,3.458,3.823,3.938,4.085,22.248,0.346
10,237.600,2.769,1.149,2.246,2.739,3.319,3.636,3.836,3.968,4.841,0.361
15,228.200,2.904,1.640,2.281,2.834,3.417,3.839,3.937,4.642,22.686,0.344
20,235.600,2.796,1.517,2.258,2.747,3.384,3.785,3.897,4.030,4.906,0.358
25,239.200,2.784,1.160,2.245,2.728,3.347,3.748,3.906,4.122,6.819,0.359
30,232.800,2.872,1.401,2.271,2.790,3.406,3.821,3.932,4.706,23.124,0.348
35,229.400,2.926,1.327,2.283,2.851,3.469,3.899,4.270,4.865,6.515,0.342
40,205.200,3.193,1.667,2.317,3.003,3.671,4.264,5.139,7.438,24.929,0.313
45,238.800,2.800,1.331,2.239,2.739,3.340,3.769,3.884,4.332,7.104,0.357
50,230.000,2.931,1.347,2.272,2.899,3.477,3.875,4.102,4.848,22.709,0.341
55,233.000,2.851,1.186,2.287,2.810,3.461,3.827,3.987,4.146,4.642,0.351
60,231.400,2.943,1.332,2.306,2.831,3.486,3.943,4.206,4.972,21.149,0.340
65,231.200,2.850,1.373,2.288,2.786,3.414,3.803,3.992,4.811,5.284,0.351
70,237.600,2.836,1.366,2.248,2.755,3.406,3.803,3.928,4.605,5.398,0.353
75,246.400,2.749,1.176,2.212,2.705,3.324,3.652,3.811,3.974,7.144,0.364
80,237.400,2.780,1.484,2.219,2.742,3.336,3.713,3.851,4.245,6.165,0.360
85,236.800,2.749,1.151,2.220,2.716,3.316,3.631,3.822,4.103,6.373,0.364
90,234.400,2.904,1.169,2.275,2.801,3.453,3.854,4.027,4.909,23.679,0.344
95,238.000,2.753,1.171,2.216,2.714,3.331,3.688,3.830,3.993,5.220,0.363
100,237.600,2.860,1.269,2.264,2.797,3.426,3.809,3.905,4.049,23.647,0.350
105,228.400,2.913,1.377,2.284,2.833,3.498,3.907,4.172,4.782,7.260,0.343
110,234.200,2.868,1.102,2.231,2.805,3.411,3.805,3.938,4.638,28.275,0.349
115,229.800,2.968,1.401,2.270,2.807,3.404,3.863,4.499,8.006,9.045,0.337
120,230.000,2.868,1.142,2.277,2.851,3.410,3.806,3.942,4.217,20.330,0.349
125,221.800,2.914,1.530,2.295,2.870,3.492,3.879,4.029,4.573,7.175,0.343
130,224.400,2.960,1.097,2.346,2.912,3.565,3.947,4.146,4.457,7.508,0.338
135,218.800,3.035,1.467,2.401,2.993,3.624,4.086,4.229,4.667,6.265,0.330
140,218.600,2.948,1.136,2.320,2.845,3.518,3.905,4.018,4.678,21.254,0.339
145,187.000,3.486,1.242,2.590,3.217,4.082,5.037,5.708,7.729,9.326,0.287
150,213.000,3.061,1.555,2.432,2.974,3.611,4.073,4.266,4.846,21.159,0.327
155,233.600,2.827,1.212,2.257,2.760,3.366,3.793,3.914,4.140,13.902,0.354
160,231.000,2.903,1.328,2.285,2.829,3.436,3.872,4.033,4.720,20.545,0.344
165,224.600,2.905,1.124,2.289,2.829,3.438,3.900,4.118,4.769,5.795,0.344
170,189.800,3.601,1.426,2.665,3.435,4.207,5.016,5.923,8.216,23.245,0.278
175,180.400,3.633,1.258,2.725,3.526,4.223,5.033,6.254,7.740,8.743,0.275
180,205.600,3.342,1.093,2.522,3.177,3.868,4.849,5.613,7.691,8.296,0.299
185,230.800,2.856,1.092,2.272,2.777,3.396,3.813,3.931,4.397,23.008,0.350
190,201.600,3.320,1.455,2.466,3.090,3.854,4.831,5.698,7.639,8.478,0.301
195,243.000,2.774,1.104,2.239,2.758,3.325,3.685,3.855,3.985,5.066,0.360
200,225.800,2.981,1.253,2.291,2.934,3.509,3.869,4.247,6.375,10.283,0.335
205,234.800,2.831,1.276,2.250,2.758,3.391,3.756,3.884,4.234,21.045,0.353
210,239.800,2.768,1.066,2.227,2.715,3.316,3.739,3.839,4.140,6.426,0.361
215,242.200,2.823,1.230,2.249,2.739,3.361,3.758,3.883,4.432,19.706,0.354
220,235.800,2.844,1.136,2.274,2.778,3.397,3.794,3.920,4.531,5.854,0.352
225,203.800,3.284,1.324,2.346,3.115,3.770,4.672,5.785,8.207,8.954,0.304
230,228.000,2.903,1.172,2.302,2.817,3.423,3.859,4.076,4.644,6.718,0.344
235,215.000,3.119,1.222,2.383,3.013,3.625,4.274,4.832,5.949,7.272,0.321
240,234.200,2.814,1.128,2.267,2.756,3.383,3.780,3.902,4.328,6.731,0.355
245,219.000,3.089,1.349,2.436,3.020,3.640,4.078,4.206,4.949,22.932,0.324
250,229.200,2.928,1.268,2.321,2.864,3.510,3.892,4.049,4.691,7.525,0.342
255,242.200,2.791,1.061,2.259,2.756,3.332,3.711,3.911,4.118,5.018,0.358
260,237.000,2.840,1.068,2.262,2.802,3.395,3.768,3.915,4.533,7.527,0.352
265,233.000,2.843,1.233,2.272,2.778,3.415,3.786,3.904,4.091,22.269,0.352
270,196.200,3.315,1.321,2.408,3.126,3.817,4.610,5.634,7.964,9.152,0.302
275,226.000,2.916,1.201,2.299,2.846,3.488,3.893,4.040,4.488,21.836,0.343
280,215.200,3.070,1.368,2.301,2.993,3.560,4.050,4.771,7.435,8.029,0.326
285,225.800,2.939,1.400,2.308,2.844,3.420,3.868,4.032,4.807,23.526,0.340
290,203.400,3.177,1.120,2.350,3.008,3.624,4.481,5.121,7.849,9.465,0.315
295,206.200,3.180,1.612,2.364,3.003,3.751,4.452,4.897,6.749,26.773,0.314
300,231.600,2.868,1.307,2.285,2.918,3.369,3.764,3.901,4.407,5.791,0.349
305,222.000,2.898,1.319,2.299,2.835,3.447,3.849,3.988,4.598,7.361,0.345
310,231.600,2.828,1.226,2.269,2.791,3.415,3.807,3.902,4.066,5.300,0.354
315,221.400,2.978,1.239,2.319,2.961,3.496,3.917,4.116,5.043,22.416,0.336
320,232.000,2.817,1.344,2.259,2.792,3.386,3.759,3.894,4.044,8.273,0.355
325,233.200,2.855,1.400,2.277,2.773,3.370,3.787,3.894,4.225,21.439,0.350
330,218.200,3.068,1.128,2.319,3.020,3.617,4.068,4.632,6.040,7.049,0.326
335,235.600,2.831,1.189,2.280,2.785,3.421,3.767,3.902,4.100,4.963,0.353
340,232.800,2.827,1.121,2.292,2.789,3.367,3.736,3.919,4.190,4.861,0.354
345,224.600,2.943,1.148,2.304,2.837,3.453,3.858,4.001,6.574,10.323,0.340
350,208.000,3.177,1.260,2.356,3.024,3.638,4.254,5.217,8.183,10.119,0.315
355,233.600,2.834,1.103,2.285,2.764,3.379,3.807,3.909,4.305,23.648,0.353
360,228.000,2.998,1.195,2.379,2.973,3.571,3.944,4.109,4.868,9.755,0.334
365,205.000,3.156,1.515,2.479,3.054,3.759,4.184,4.393,4.958,24.397,0.317
