Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.600,0.747,0.401,0.478,0.559,0.730,1.368,1.767,3.178,3.178,1.338
5,24.600,0.490,0.367,0.436,0.471,0.521,0.588,0.623,0.740,0.967,2.043
10,19.200,0.442,0.326,0.393,0.423,0.444,0.507,0.602,1.617,1.617,2.261
15,18.800,0.429,0.342,0.384,0.412,0.447,0.495,0.585,0.753,0.753,2.329
20,20.200,0.415,0.332,0.379,0.400,0.433,0.489,0.522,0.586,0.689,2.408
25,19.000,0.404,0.332,0.371,0.393,0.422,0.468,0.504,0.657,0.657,2.475
30,22.000,0.403,0.317,0.368,0.389,0.427,0.475,0.502,0.547,0.796,2.478
35,21.400,0.423,0.323,0.372,0.398,0.449,0.509,0.567,0.690,0.922,2.364
40,20.000,0.461,0.331,0.372,0.417,0.474,0.614,0.756,1.389,1.389,2.170
45,19.400,0.395,0.326,0.363,0.389,0.415,0.454,0.484,0.553,0.553,2.529
50,21.400,0.423,0.324,0.369,0.407,0.441,0.512,0.566,0.697,0.808,2.363
55,21.800,0.423,0.333,0.388,0.409,0.443,0.471,0.520,0.788,0.835,2.363
60,18.800,0.437,0.352,0.388,0.438,0.475,0.510,0.536,0.645,0.645,2.287
65,22.200,0.418,0.338,0.380,0.413,0.447,0.474,0.483,0.602,0.690,2.392
70,19.600,0.413,0.323,0.372,0.391,0.429,0.497,0.587,0.793,0.793,2.422
75,23.000,0.389,0.322,0.362,0.380,0.408,0.443,0.471,0.496,0.541,2.571
80,20.800,0.405,0.327,0.375,0.392,0.420,0.458,0.488,0.647,0.729,2.472
85,24.200,0.395,0.332,0.366,0.385,0.420,0.449,0.464,0.487,0.619,2.534
90,20.600,0.416,0.329,0.365,0.395,0.422,0.497,0.532,0.682,1.145,2.403
95,22.200,0.409,0.314,0.368,0.395,0.420,0.460,0.565,0.725,0.774,2.443
100,21.000,0.397,0.326,0.359,0.381,0.409,0.440,0.533,0.664,0.785,2.517
