Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,200.600,0.897,0.641,0.720,0.770,0.888,1.161,1.293,2.185,20.992,1.115
5,223.800,0.731,0.629,0.686,0.711,0.751,0.817,0.866,1.033,1.952,1.368
10,228.000,0.711,0.611,0.668,0.690,0.729,0.796,0.835,0.981,1.796,1.407
15,220.000,0.713,0.605,0.663,0.688,0.740,0.813,0.859,1.073,1.665,1.402
20,228.000,0.695,0.598,0.660,0.681,0.714,0.752,0.785,0.877,1.669,1.439
25,228.400,0.693,0.599,0.655,0.679,0.712,0.758,0.796,0.926,1.680,1.442
30,237.400,0.699,0.579,0.648,0.673,0.726,0.784,0.823,1.044,4.478,1.431
35,221.200,0.721,0.584,0.646,0.686,0.791,0.848,0.884,1.005,1.905,1.388
40,218.800,0.752,0.567,0.642,0.684,0.804,0.922,1.167,1.417,1.552,1.331
45,216.400,0.692,0.577,0.641,0.669,0.709,0.767,0.817,1.139,3.666,1.446
50,212.200,0.711,0.569,0.644,0.673,0.743,0.832,0.871,1.183,4.209,1.407
55,214.400,0.701,0.583,0.663,0.688,0.724,0.767,0.805,0.929,1.169,1.427
60,209.200,0.729,0.589,0.667,0.698,0.771,0.855,0.891,1.006,1.400,1.373
65,223.400,0.718,0.603,0.666,0.693,0.741,0.808,0.879,1.107,2.645,1.393
70,207.400,0.710,0.588,0.646,0.669,0.716,0.781,0.822,1.022,18.545,1.408
75,240.000,0.671,0.581,0.636,0.657,0.690,0.733,0.758,0.917,1.506,1.491
80,219.000,0.682,0.584,0.641,0.661,0.700,0.749,0.797,0.976,1.686,1.467
85,223.200,0.678,0.599,0.641,0.660,0.694,0.741,0.783,1.011,1.532,1.474
90,198.600,0.709,0.600,0.654,0.681,0.736,0.839,0.876,1.002,1.387,1.410
95,247.200,0.680,0.582,0.645,0.668,0.696,0.741,0.773,0.889,1.799,1.470
100,236.200,0.686,0.594,0.650,0.670,0.708,0.751,0.784,0.903,1.376,1.457
105,208.600,0.742,0.607,0.678,0.714,0.788,0.852,0.887,1.112,1.877,1.348
110,224.400,0.707,0.584,0.656,0.678,0.731,0.819,0.870,0.975,1.807,1.415
115,215.800,0.737,0.593,0.664,0.688,0.734,0.840,0.952,1.553,1.819,1.358
120,218.200,0.710,0.611,0.669,0.693,0.728,0.780,0.823,1.043,1.321,1.409
125,212.200,0.732,0.604,0.673,0.701,0.760,0.832,0.885,1.238,2.113,1.367
130,198.000,0.734,0.626,0.690,0.717,0.755,0.815,0.865,1.047,1.687,1.363
135,212.600,0.756,0.631,0.704,0.738,0.779,0.841,0.893,1.155,1.697,1.323
140,222.600,0.734,0.627,0.687,0.711,0.752,0.816,0.869,1.051,3.416,1.363
145,178.000,0.897,0.624,0.703,0.815,0.948,1.274,1.564,1.763,2.126,1.115
150,213.200,0.750,0.604,0.699,0.729,0.777,0.859,0.904,1.020,1.647,1.334
155,235.400,0.704,0.597,0.670,0.691,0.723,0.765,0.801,0.978,1.202,1.420
160,215.000,0.739,0.606,0.677,0.703,0.752,0.857,0.904,1.266,3.909,1.354
165,209.000,0.727,0.556,0.670,0.698,0.755,0.844,0.894,1.093,1.799,1.375
170,172.400,0.886,0.625,0.753,0.821,0.909,1.160,1.363,1.537,7.143,1.128
175,173.000,0.908,0.613,0.773,0.850,0.925,1.220,1.471,1.625,2.449,1.102
180,197.800,0.847,0.621,0.697,0.780,0.895,1.140,1.371,1.590,2.208,1.181
185,221.000,0.708,0.575,0.671,0.694,0.733,0.780,0.824,0.918,1.148,1.412
190,194.600,0.821,0.604,0.678,0.752,0.853,1.134,1.363,1.571,1.881,1.218
195,232.000,0.718,0.596,0.661,0.682,0.720,0.764,0.807,0.980,19.355,1.393
200,218.200,0.739,0.611,0.667,0.695,0.752,0.868,0.931,1.620,1.911,1.354
205,219.600,0.716,0.600,0.668,0.694,0.732,0.781,0.818,1.011,7.634,1.397
210,220.200,0.695,0.607,0.657,0.677,0.712,0.761,0.799,0.969,1.877,1.439
215,219.800,0.711,0.614,0.668,0.693,0.735,0.788,0.820,1.012,1.639,1.407
220,213.000,0.723,0.606,0.670,0.694,0.750,0.825,0.861,1.103,1.913,1.382
225,202.000,0.823,0.626,0.693,0.735,0.839,1.128,1.338,1.634,6.956,1.215
230,219.800,0.735,0.622,0.679,0.706,0.764,0.832,0.866,1.097,2.177,1.361
235,198.200,0.800,0.616,0.674,0.714,0.850,0.977,1.122,1.280,24.168,1.250
240,215.000,0.716,0.624,0.676,0.697,0.736,0.783,0.812,1.012,1.957,1.397
245,199.800,0.779,0.637,0.721,0.745,0.794,0.860,0.932,1.290,4.780,1.283
250,211.400,0.745,0.627,0.697,0.726,0.768,0.837,0.895,1.042,1.913,1.342
255,214.400,0.742,0.624,0.674,0.697,0.729,0.778,0.821,1.016,31.868,1.349
260,230.400,0.715,0.603,0.669,0.694,0.739,0.794,0.860,0.962,1.622,1.399
265,226.600,0.721,0.614,0.679,0.703,0.738,0.790,0.846,1.033,1.575,1.387
270,184.400,0.825,0.612,0.705,0.747,0.848,0.994,1.327,1.617,7.580,1.212
275,213.200,0.741,0.614,0.692,0.721,0.769,0.826,0.865,1.075,1.807,1.350
280,203.800,0.793,0.634,0.689,0.720,0.789,1.058,1.348,1.454,2.219,1.262
285,217.600,0.741,0.634,0.700,0.727,0.763,0.813,0.856,1.012,1.679,1.350
290,200.800,0.816,0.594,0.686,0.719,0.860,1.152,1.454,1.646,1.971,1.226
295,200.800,0.829,0.633,0.708,0.770,0.897,0.993,1.249,1.459,1.904,1.207
300,196.000,0.726,0.614,0.686,0.711,0.747,0.797,0.846,1.001,1.691,1.377
305,217.600,0.750,0.637,0.690,0.721,0.773,0.869,0.924,1.131,2.651,1.334
310,220.200,0.729,0.643,0.689,0.713,0.750,0.795,0.845,0.952,1.626,1.372
315,218.200,0.747,0.620,0.687,0.716,0.770,0.847,0.921,1.278,2.034,1.339
320,233.400,0.714,0.629,0.679,0.702,0.733,0.770,0.809,0.946,1.657,1.400
325,220.800,0.729,0.627,0.684,0.708,0.749,0.806,0.847,1.066,1.703,1.371
330,205.800,0.784,0.639,0.699,0.732,0.798,0.960,1.130,1.275,1.758,1.276
335,218.600,0.728,0.644,0.693,0.717,0.750,0.787,0.819,0.896,1.607,1.373
340,221.000,0.750,0.638,0.694,0.718,0.753,0.798,0.834,0.969,20.161,1.334
345,213.800,0.749,0.613,0.685,0.716,0.758,0.815,0.886,1.763,1.900,1.335
350,202.000,0.810,0.636,0.691,0.730,0.798,1.169,1.350,1.770,1.924,1.234
355,220.200,0.729,0.632,0.683,0.706,0.745,0.799,0.844,1.032,3.990,1.372
360,211.800,0.768,0.645,0.720,0.747,0.788,0.856,0.922,1.172,1.658,1.302
365,220.400,0.795,0.624,0.732,0.766,0.840,0.915,0.968,1.230,1.741,1.258
370,224.200,0.712,0.632,0.678,0.698,0.729,0.771,0.806,0.905,1.772,1.405
375,222.400,0.716,0.624,0.679,0.703,0.733,0.768,0.809,0.985,1.623,1.397
380,213.600,0.760,0.628,0.688,0.721,0.794,0.915,0.967,1.112,1.854,1.315
385,215.400,0.752,0.625,0.678,0.701,0.743,0.815,0.860,1.074,18.882,1.330
390,220.200,0.721,0.627,0.680,0.702,0.736,0.785,0.830,1.016,1.716,1.386
395,216.000,0.724,0.630,0.686,0.709,0.742,0.791,0.828,0.994,1.649,1.382
400,206.800,0.769,0.625,0.694,0.721,0.780,0.919,0.977,1.415,1.822,1.301
405,211.200,0.795,0.587,0.705,0.744,0.788,0.867,0.979,1.404,22.261,1.258
410,227.000,0.729,0.632,0.689,0.715,0.745,0.788,0.827,1.058,1.768,1.372
415,220.200,0.749,0.641,0.702,0.730,0.774,0.831,0.877,1.012,2.072,1.335
420,218.000,0.744,0.630,0.696,0.722,0.760,0.823,0.888,1.169,1.672,1.343
425,218.200,0.709,0.610,0.675,0.695,0.730,0.766,0.810,0.947,1.234,1.410
430,191.800,0.840,0.629,0.695,0.757,0.899,1.190,1.321,1.614,2.425,1.191
435,227.400,0.735,0.638,0.694,0.718,0.758,0.806,0.836,1.007,1.842,1.360
440,218.200,0.721,0.628,0.686,0.708,0.742,0.781,0.807,0.960,1.380,1.386
445,219.000,0.726,0.642,0.686,0.710,0.745,0.801,0.856,0.943,1.658,1.378
450,220.200,0.724,0.630,0.686,0.706,0.744,0.787,0.823,1.024,1.606,1.381
455,228.000,0.737,0.602,0.687,0.711,0.750,0.797,0.837,1.015,6.562,1.358
460,231.000,0.738,0.621,0.682,0.710,0.754,0.844,0.918,1.081,1.806,1.356
465,226.000,0.731,0.620,0.681,0.715,0.763,0.811,0.847,1.029,1.934,1.368
470,217.400,0.733,0.650,0.695,0.717,0.752,0.788,0.817,0.971,3.150,1.365
475,223.000,0.737,0.653,0.699,0.722,0.755,0.803,0.855,0.942,1.595,1.357
480,211.200,0.738,0.657,0.700,0.723,0.758,0.801,0.834,0.971,1.512,1.355
