Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,16.800,1.328,0.910,1.139,1.253,1.469,1.714,1.884,3.282,3.282,0.753
5,23.800,1.148,0.805,1.019,1.142,1.263,1.366,1.395,1.436,1.511,0.871
10,20.400,1.158,0.836,1.031,1.159,1.282,1.364,1.403,1.464,1.521,0.864
15,17.600,1.210,0.831,1.080,1.182,1.319,1.459,1.527,3.153,3.153,0.827
20,22.200,1.123,0.866,0.995,1.127,1.223,1.326,1.385,1.444,1.453,0.891
25,23.000,1.103,0.816,0.989,1.107,1.205,1.320,1.349,1.387,1.394,0.907
30,19.800,1.155,0.801,1.040,1.153,1.283,1.365,1.408,1.498,1.498,0.866
35,17.400,1.229,0.845,1.087,1.188,1.365,1.515,1.564,1.654,1.654,0.814
40,21.800,1.271,0.828,0.997,1.131,1.388,1.802,2.245,2.931,2.987,0.787
45,20.400,1.211,0.815,1.068,1.184,1.317,1.432,1.611,2.030,2.914,0.826
50,19.200,1.181,0.864,1.043,1.187,1.281,1.461,1.553,1.681,1.681,0.847
55,21.600,1.111,0.764,0.987,1.122,1.234,1.316,1.359,1.430,1.462,0.900
60,17.800,1.209,0.839,1.052,1.191,1.323,1.490,1.581,1.778,1.778,0.827
65,19.000,1.172,0.796,1.045,1.156,1.295,1.399,1.423,2.260,2.260,0.853
70,21.000,1.154,0.864,1.016,1.139,1.265,1.357,1.434,1.639,2.078,0.867
75,22.000,1.093,0.807,0.972,1.091,1.207,1.268,1.342,1.415,1.467,0.915
80,17.400,1.179,0.846,1.059,1.162,1.285,1.381,1.415,2.268,2.268,0.848
85,20.600,1.121,0.865,0.993,1.125,1.230,1.316,1.336,1.381,1.774,0.892
90,20.800,1.189,0.883,1.060,1.172,1.295,1.411,1.548,1.678,1.684,0.841
95,26.600,1.078,0.778,0.959,1.079,1.194,1.269,1.316,1.384,1.397,0.928
100,20.800,1.140,0.804,1.012,1.140,1.238,1.359,1.385,1.458,1.467,0.877
