Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,452.600,2.199,0.401,0.770,1.617,3.158,4.010,5.206,8.282,40.844,0.455
5,516.400,1.928,0.367,0.707,1.127,2.862,3.700,4.036,7.094,22.248,0.519
10,526.400,1.892,0.326,0.689,1.303,2.811,3.588,3.913,6.875,11.402,0.528
15,506.400,1.970,0.342,0.687,1.364,2.980,3.749,4.428,6.861,22.686,0.508
20,527.400,1.891,0.332,0.680,1.210,2.801,3.660,3.982,6.788,26.032,0.529
25,530.400,1.880,0.332,0.679,1.227,2.789,3.624,3.970,6.784,9.996,0.532
30,531.200,1.875,0.317,0.669,1.096,2.819,3.650,4.162,6.772,23.124,0.533
35,508.400,1.960,0.323,0.682,1.322,2.914,3.813,4.554,7.950,8.843,0.510
40,484.200,2.058,0.331,0.676,1.233,3.002,3.904,6.292,8.117,24.929,0.486
45,517.000,1.929,0.326,0.669,1.712,2.914,3.682,4.093,6.828,9.484,0.518
50,503.200,1.982,0.324,0.672,1.522,3.002,3.810,4.515,7.038,22.709,0.505
55,513.000,1.944,0.333,0.687,1.344,2.896,3.763,4.108,6.849,8.625,0.514
60,496.400,2.009,0.352,0.698,1.773,2.950,3.840,4.604,6.964,21.149,0.498
65,517.000,1.929,0.338,0.691,1.292,2.866,3.710,4.298,6.916,8.889,0.518
70,506.800,1.969,0.323,0.671,1.754,2.954,3.740,4.429,6.814,18.545,0.508
75,550.600,1.811,0.322,0.654,1.113,2.748,3.525,3.842,6.605,7.826,0.552
80,517.800,1.925,0.327,0.661,1.707,2.926,3.636,4.069,6.701,26.451,0.520
85,529.400,1.883,0.332,0.659,1.283,2.777,3.591,4.237,6.680,9.327,0.531
90,495.000,2.017,0.329,0.683,1.769,2.997,3.813,4.563,6.998,23.679,0.496
95,553.600,1.800,0.314,0.665,1.000,2.714,3.551,3.874,6.969,8.449,0.556
100,534.000,1.868,0.326,0.668,1.140,2.870,3.646,3.943,6.814,23.647,0.535
105,501.000,1.990,0.316,0.716,1.460,2.915,3.827,4.560,7.154,8.367,0.503
110,520.800,1.916,0.306,0.677,1.200,2.922,3.699,4.207,6.637,28.275,0.522
115,503.600,1.979,0.323,0.687,1.547,2.928,3.760,5.569,7.123,15.789,0.505
120,513.800,1.942,0.332,0.692,1.237,3.007,3.703,4.106,6.837,20.330,0.515
