Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,291,291.000,987,1273,2816,3414,4290,5382,9555,20823,40844
1,430,430.000,586,953,2108,2319,3266,4225,4710,8302,9482
2,491,491.000,450,760,1199,2024,2952,3804,4245,7390,20992
3,529,529.000,401,728,893,1884,2806,3744,4042,7136,7528
4,522,522.000,403,719,1157,1905,2822,3704,3998,6913,7346
5,513,513.000,380,710,1133,1942,2885,3786,4075,7032,8183
6,529,529.000,432,705,1255,1884,2815,3651,3951,7028,7211
7,519,519.000,409,708,1035,1913,2846,3708,4033,7078,22248
8,529,529.000,367,705,953,1886,2829,3686,4037,7219,8131
9,492,492.000,395,707,1436,2020,3002,3718,6693,7126,8386
10,531,531.000,377,697,1134,1873,2780,3575,3945,6966,11402
11,527,527.000,364,689,1303,1892,2754,3589,3974,6896,7040
12,524,524.000,326,685,1300,1897,2775,3596,3905,6799,6990
13,519,519.000,361,689,1403,1919,2954,3607,3907,6869,7184
14,531,531.000,349,684,1732,1879,2900,3566,3843,6759,7077
15,504,504.000,358,691,1798,1981,2826,3617,3907,6819,22686
16,522,522.000,363,684,1630,1917,2888,3605,3945,6715,6935
17,484,484.000,342,696,1711,2050,3116,3892,4818,7352,12455
18,504,504.000,350,689,1013,1981,2966,3842,6311,6853,8720
19,518,518.000,367,677,1138,1925,3020,3701,4005,7103,7741
20,544,544.000,352,679,1091,1832,2727,3569,3884,6721,6842
21,547,547.000,347,677,996,1820,2729,3625,3988,6788,7326
22,501,501.000,365,684,1756,1996,2955,3795,6421,6747,7911
23,509,509.000,342,681,1724,1956,3000,3628,3962,6799,26032
24,536,536.000,332,681,1303,1863,2792,3655,3956,6748,7626
25,535,535.000,345,682,1188,1860,2780,3570,3952,6821,7259
26,548,548.000,334,676,1189,1820,2734,3568,3952,6782,7074
27,557,557.000,332,674,1098,1790,2600,3609,3944,6749,7159
28,494,494.000,353,681,1762,2019,3026,3754,6522,6839,9996
29,518,518.000,354,674,1767,1928,2931,3686,3980,6764,7008
30,537,537.000,339,671,953,1852,2749,3675,4451,6747,9462
31,525,525.000,317,666,1324,1898,2866,3607,3934,6759,6966
32,555,555.000,330,664,848,1793,2769,3650,4194,6759,7815
33,517,517.000,351,671,1309,1925,3041,3652,3941,6665,23124
34,522,522.000,358,672,1199,1911,2820,3677,4365,7012,8240
35,559,559.000,323,668,1312,1781,2710,3544,3849,6675,6884
36,458,458.000,332,795,1614,2176,3160,4097,6486,8220,8843
37,528,528.000,342,655,973,1887,2917,3803,4254,7068,8506
38,483,483.000,344,783,1203,2059,3007,3934,4794,8251,8520
39,514,514.000,346,661,1736,1939,2869,3761,4629,6682,8416
40,536,536.000,334,652,1067,1857,2959,3636,3951,6531,6873
41,564,564.000,331,644,815,1762,2729,3535,3858,6629,8218
42,325,325.000,348,1064,2109,3072,4103,6540,7574,14723,22918
43,439,439.000,417,823,1246,2269,3363,4423,5113,8506,24929
44,557,557.000,331,662,886,1792,2612,3720,4114,6983,7270
45,512,512.000,350,680,1820,1945,2771,3614,3987,6959,7069
46,543,543.000,352,656,1680,1836,2658,3617,3908,6608,6850
47,535,535.000,339,657,1331,1864,2898,3594,3895,6797,7104
48,479,479.000,355,735,1783,2087,3049,3791,4435,7390,9484
49,516,516.000,326,657,1214,1928,2969,3716,6273,6552,7026
50,564,564.000,324,651,1014,1767,2726,3560,3887,6497,6842
